DataZon,CIF,crime_rate,overcrowded_count,Employment_rate,DEPRESS,DRUG,Noquals,SMR,nocentralheat_rate,Clst_KM,BMU,hier_cluster
S01008749,0.068627450980392,0.044139312864635,0.138775510204082,0.075471698113208,0.339079506693922,0.000000000000000,0.288446686211508,0.104014598540146,0.010057774621394,5,69.000000000000000,1
S01008750,0.088235294117647,0.019211586801261,0.069387755102041,0.094339622641509,0.348004036704506,0.150276736780151,0.238670854499443,0.091240875912409,0.035159290372796,5,90.000000000000000,1
S01008751,0.225490196078431,0.083046088524665,0.124489795918367,0.283018867924528,0.573108352399719,0.189257027525417,0.443466489559920,0.175182481751825,0.047685494145483,2,105.000000000000000,4
S01008752,0.352941176470588,0.091215715344700,0.240816326530612,0.528301886792453,0.928932517524060,0.298488000087935,0.739934763471887,0.211678832116788,0.081657116827695,3,99.000000000000000,5
S01008753,0.323529411764706,0.050589757627034,0.224489795918367,0.377358490566038,0.506550337821357,0.158838534366769,0.661046728267586,0.208029197080292,0.046113770768797,3,95.000000000000000,4
S01008754,0.147058823529412,0.049707540595899,0.124489795918367,0.207547169811321,0.388236980255212,0.152848771425503,0.547316595192345,0.286496350364964,0.100543652062680,2,73.000000000000000,1
S01008755,0.245098039215686,0.087004501234209,0.444897959183673,0.283018867924528,0.437730097042192,0.236885213847852,0.571122479855062,0.208029197080292,0.231147113668718,3,66.000000000000000,4
S01008756,0.264705882352941,0.082977028839705,0.330612244897959,0.396226415094340,0.686097367315868,0.339862630970721,0.663144319717869,0.138686131386861,0.111715168958533,3,87.000000000000000,4
S01008757,0.500000000000000,0.175409836065574,0.300000000000000,0.679245283018868,0.949602965260428,0.483522266164766,0.809492942846330,0.852189781021898,0.046489619684154,3,121.000000000000000,5
S01008758,0.333333333333333,0.121708875581279,0.320408163265306,0.415094339622641,0.746729867429028,0.515447264224380,0.650147571388549,0.222627737226277,0.018019670327151,3,98.000000000000000,5
S01008759,0.362745098039216,0.071399632992541,0.269387755102041,0.490566037735849,0.770046950783887,0.242622948424059,0.711632148445199,0.262773722627737,0.026294660778804,3,99.000000000000000,5
S01008760,0.460784313725490,0.101196019089745,0.357142857142857,0.603773584905660,0.833387438398321,0.602000607361343,0.775488335765748,0.293795620437956,0.105066869849417,3,110.000000000000000,5
S01008761,0.176470588235294,0.042289450991664,0.302040816326531,0.150943396226415,0.337751138042491,0.022705303489708,0.540214508338921,0.233576642335766,0.000000000000000,2,73.000000000000000,1
S01008762,0.088235294117647,0.075985323706948,0.155102040816327,0.094339622641509,0.400749151568863,0.043002332750885,0.416132663992580,0.142335766423358,0.252048162859980,2,71.000000000000000,1
S01008763,0.078431372549020,0.008172680333629,0.208163265306122,0.056603773584906,0.216222599349616,0.021220322020580,0.177767870169946,0.105839416058394,0.171014788373279,4,38.000000000000000,1
S01008764,0.107843137254902,0.075894214206100,0.134693877551020,0.132075471698113,0.398993583756546,0.065393056858214,0.252479676098060,0.169708029197080,0.048464668886422,5,91.000000000000000,1
S01008765,0.098039215686275,0.036335117478695,0.191836734693878,0.169811320754717,0.337824038182031,0.116277537676250,0.205298678521672,0.156934306569343,0.215183129855716,5,60.000000000000000,1
S01008766,0.127450980392157,0.035810905034165,0.163265306122449,0.150943396226415,0.411138289008699,0.000000000000000,0.299004220022814,0.169708029197080,0.082959265398871,2,103.000000000000000,1
S01008767,0.137254901960784,0.027351039083868,0.177551020408163,0.188679245283019,0.443885141376253,0.000000000000000,0.257405901564973,0.082116788321168,0.136809858664624,2,103.000000000000000,1
S01008768,0.166666666666667,0.143984928680362,0.232653061224490,0.207547169811321,0.525947414194636,0.093466307476097,0.387622188598694,0.481751824817518,0.191682710820177,2,63.000000000000000,1
S01008769,0.196078431372549,0.056245265224718,0.379591836734694,0.169811320754717,0.235316465900900,0.000000000000000,0.056317788069738,0.056569343065693,0.044535101138875,4,18.000000000000000,1
S01008770,0.098039215686275,0.031744792479935,0.593877551020408,0.113207547169811,0.111220985813340,0.016216665120072,0.122286535754009,0.000000000000000,0.086726249586230,4,6.000000000000000,1
S01008771,0.117647058823529,0.045822230681386,0.226530612244898,0.150943396226415,0.140017281179547,0.166340437793638,0.244830453054847,0.151459854014599,0.025415918901877,5,59.000000000000000,1
S01008772,0.078431372549020,0.048056194308709,0.197959183673469,0.094339622641509,0.380081819068116,0.131882953576663,0.199165605903131,0.138686131386861,0.219133600649430,5,60.000000000000000,1
S01008773,0.205882352941176,0.047319119282776,0.508163265306122,0.245283018867925,0.472818634540528,0.192337847805725,0.293840849505320,0.251824817518248,0.358990501231322,1,54.000000000000000,4
S01008774,0.313725490196078,0.128609732795019,0.440816326530612,0.377358490566038,0.714883233875830,0.251358812556516,0.359164113555335,0.346715328467153,0.270040596537725,3,77.000000000000000,4
S01008775,0.156862745098039,0.124806811885808,0.140816326530612,0.226415094339623,0.350327644724020,0.221016636873590,0.176854304559060,0.122262773722628,0.230901734567159,2,50.000000000000000,1
S01008776,0.313725490196078,0.109282596161766,0.471428571428571,0.433962264150943,0.712414797295616,0.251148693989176,0.413790735119343,0.295620437956204,0.470210404515078,3,77.000000000000000,4
S01008777,0.382352941176471,0.091084971366661,0.418367346938776,0.509433962264151,0.708415947536111,0.361016602948135,0.624892555512935,0.251824817518248,0.384098394988862,3,77.000000000000000,4
S01008778,0.156862745098039,0.034029986369832,0.516326530612245,0.188679245283019,0.381856976659517,0.068312030275617,0.188420091580690,0.173357664233577,0.236700371798881,1,53.000000000000000,1
S01008779,0.088235294117647,0.022341596750313,0.191836734693878,0.075471698113208,0.196781983306209,0.000000000000000,0.158352625640043,0.076642335766423,0.055079623692647,5,47.000000000000000,1
S01008780,0.166666666666667,0.055914995271985,0.261224489795918,0.188679245283019,0.228035397645686,0.092513996235734,0.211077867033393,0.127737226277372,0.127188582154762,5,60.000000000000000,1
S01008781,0.147058823529412,0.079759896425909,0.563265306122449,0.207547169811321,0.463465792880435,0.184115426050695,0.282016807355524,0.275547445255474,0.210829468691104,1,53.000000000000000,1
S01008782,0.186274509803922,0.041806984575883,0.334693877551020,0.226415094339623,0.484175032713033,0.270634205390783,0.240304107357705,0.229927007299270,0.164999874045898,2,75.000000000000000,4
S01008783,0.137254901960784,0.069507189889863,0.171428571428571,0.150943396226415,0.122858592752025,0.029554651044175,0.152101500191880,0.071167883211679,0.355640016288856,4,27.000000000000000,1
